drug,disease
"heparin, porcine",Postoperative Complications
apomorphine,Parkinsonian Disorders
thalidomide,MYELODYSPLASTIC SYNDROME
copper,Oral Submucous Fibrosis
cefprozil,Proteus Infections
estrogens,Metrorrhagia
trimetrexate,Advanced cancer
niacinamide,Pellagra
anagrelide,Thrombocytosis
pyrogastrone,Peptic Esophagitis
ubidecarenone,Neurodegenerative Disorders
vinblastine,Testicular Neoplasms
inamrinone,Myocardial dysfunction
homatropine,Biliary Tract Diseases
avacincaptad pegol sodium,Geographic Atrophy
itraconazole,Skin lesion
Growth Hormone,Fetal Growth Retardation
immune globulin intramuscular,Hepatitis A
methylprednisolone,Giant Cell Arteritis
sulfasalazine,"Ulcerative Colitis, Maintenance"
cisplatin,"Lymphoma, Non-Hodgkin"
zinc oxide,Tinea cruris
ticarcillin,Kidney Failure
natamycin,Blastomycosis
tryptophan,Depressive disorder
methyldopa,Pre-Eclampsia
spironolactone,Chronic Kidney Diseases
clobetasone butyrate,Eczema
clevidipine,Systemic arterial pressure
paramethadione,Absence Epilepsy
omadacycline tosylate,Bacterial Infections
erythromycin,Gastroparesis due to diabetes mellitus
dexibuprofen,Headache Disorders
lansoprazole,Asthma
tofacitinib,Alopecia universalis
methylprednisolone aceponate,Multiple Sclerosis
quinestrol,Hot flushes
bupropion,Drug Overdose
Steroids,Asthma attack
nesiritide,Acute congestive heart failure
tisotumab,cervical cancer
ibandronate,Neoplasm Metastasis
cefonicid,Pneumonia
sulfisoxazole,Trachoma
ranolazine,Microvascular Angina
dofetilide,Heart failure
everolimus,Pancreatic Neoplasm
ulipristal,Uterine Fibroids
indomethacin,Neoplasm Metastasis
dacarbazine,"Fibromatosis, Aggressive"
triamcinolone diacetate,"Anemia, Hemolytic"
streptomycin,Pneumonia due to Klebsiella pneumoniae
methylprednisolone,"Aspergillosis, Allergic Bronchopulmonary"
spironolactone,Hypertensive (finding)
colchicine,Acute pericarditis
glycopyrrolate,Anesthesia
boric acid,"Candidiasis, Vulvovaginal"
mannitol,Hyperosmolarity
omadacycline,"Skin Diseases, Bacterial"
capecitabine,Adenocarcinoma of large intestine
clozapine,inpatient
epinephrine,Pulmonary Emphysema
bupivacaine,Pruritus
bazedoxifene,Hot flushes
daratumumab-fihj,Multiple Myeloma
penicillin G potassium,Diphtheria due to Corynebacterium diphtheriae
Deprenyl,Attention deficit hyperactivity disorder
gatifloxacin hemihydrate,Klebsiella Infections
nitroglycerin,Portal Hypertension
Biguanides,Hyperglycemia
dinoprostone,Premature Obstetric Labor
docetaxel,Metastatic melanoma
Trimethoprim-Sulfamethoxazole Combination,Salmonella infections
Growth Hormone,Fibromyalgia
azacitidine,Myelodysplastic Syndrome
sodium salicylate,Psoriasis
fusidic acid,Bacterial sepsis
gemcitabine,stage IV pancreatic cancer
diazoxide,Hyperinsulinemic hypoglycemia
cefamandole,Bacterial peritonitis
indomethacin,Malignant neoplasm of lung
phenytoin,Craniocerebral Trauma
nitroglycerin Transdermal System,Premature Obstetric Labor
folate,Restenosis
domperidone,Hyperprolactinemia
epinephrine,Bleeding ulcer
ramelteon,Chronic Insomnia
esomeprazole,GASTROESOPHAGEAL REFLUX SYMPTOMS
progesterone,Bos indicus
pyrantel tartrate,Ancylostomiasis
sirolimus,Proteinuria
carbamazepine,"Epilepsy, Complex Partial"
triamterene,Essential Hypertension
cenegermin,Neurotrophic Keratitis
Growth Hormone,Youth
Gliadel Wafer,Glioblastoma
cephalexin,Streptococcal Infections
lindane,Scabies infestation
ofloxacin,Proteus Infections
daptomycin,Enterococcal infection
pilocarpine,Production of Miosis
azithromycin,Neisseriaceae Infections
methadone,Drug Dependence
fludarabine,Neoplasms
fluoxetine,Brain Injuries
cefiderocol,Hospital acquired pneumonia
curcumin,Inflammatory Bowel Diseases
Steroids,Pyoderma Gangrenosum
indomethacin,Pathological Dilatation
propranolol,Falls
trametinib,Solid Neoplasm
urokinase,Ascites
zonisamide,Parkinsonian Disorders
gabapentin,Cocaine Dependence
cefprozil,Staphylococcal Infections
fondaparinux,Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery
cilofexor,Primary sclerosing cholangitis
tetracycline,Streptococcus
trovafloxacin,Infection caused by Pseudomonas aeruginosa
esomeprazole,Zollinger-Ellison syndrome
lithium,Suicide
trastuzumab-oysk,Mammary Neoplasms
tetracycline trihydrate,Bronchitis
bacampicillin,"Skin Diseases, Infectious"
everolimus,Pneumonia
polidocanol,"Bone Cysts, Aneurysmal"
aspirin,Embolism
imatinib,Hypereosinophilic Syndrome
propranolol,Skin lesion
dexamethasone,Dyspnea
iron,Inflammatory Bowel Diseases
"Analgesics, Opioid",Family member
sphingosine 1-phosphate,Malignant Neoplasms
carboxymethylcellulose sodium (0.7 carboxymethyl substitution per saccharide; 38 MPA.S at 2%),Dry Eye Syndromes
aspirin,Barrett Esophagus
nifurtimox,African Trypanosomiasis
triamcinolone diacetate,Berylliosis
methionine,Hepatotoxicity
olaparib,Advanced cancer
oxytetracycline anhydrous,Acne Vulgaris
clonazepam,Myoclonus
Bicarbonates,Chronic Kidney Diseases
clotrimazole,Vaginitis
Azoxymethane,Carcinogenesis
ceftriaxone,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)
Endothelin receptor antagonist,"Subarachnoid Hemorrhage, Aneurysmal"
amphotericin B,Pulmonary cryptococcosis
perphenazine,Mixed anxiety and depressive disorder
doxorubicin,Triple Negative Breast Neoplasms
imiquimod,Dermatitis
lamotrigine,Trigeminal Neuralgia
fluorouracil,Colonic Neoplasms
lithium,Cyclothymic Disorder
propranolol,Coronary Arteriosclerosis
tigecycline,Acinetobacter Infections
ciprofloxacin,Salmonella infections
chlorothiazide,Kidney Failure
maribavir,Cytomegalovirus Infections
copper,Pre-Eclampsia
edetic acid,Drug Overdose
Insulin,Schizophrenia
activated charcoal,Poisoning
clindamycin,Staphylococcus aureus infection
clarithromycin,Community-Acquired Pneumonia
chenodeoxycholic acid,Diarrhea
aminophylline hydrate,Bronchospasm
pregabalin,Pain score
gemifloxacin mesylate,Gram-Negative Bacterial Infections
ampicillin trihydrate,Bacterial Endocarditis
penicillin G,Septicemia
Phytoestrogens,"Osteoporosis, Postmenopausal"
clodronic acid,"Osteoporosis, Postmenopausal"
pramipexole,Depressive disorder
amphotericin b liposomal,Cryptococcosis
pramipexole,Major Depressive Disorder
clofazimine,Melkersson-Rosenthal Syndrome
neostigmine,Neuromuscular inhibition
fenofibrate,Overweight
acetazolamide,"Sleep Apnea, Central"
risperidone,Pediatric Disorder
ketamine,Chronic stress
cyanocobalamin,Vitamin B12 Deficiency
gabapentin,Irritable Mood
prednisone,Autoimmune thrombocytopenia
aripiprazole,"Affective Disorders, Psychotic"
dichloroacetic acid,Verrucous Lesion
lorazepam,Depressive disorder
water,Scalding injury
flupenthixol decanoate,Schizophrenia
Particle,Carcinoma
oxytocin,Unspecified Abortion
amcinonide,Scalp Dermatoses
gatifloxacin,Urinary tract infection caused by Klebsiella
isavuconazole,Invasive aspergillosis
pitavastatin,Diabetic Nephropathy
ertapenem sodium,Soft Tissue Infection
Histone deacetylase inhibitor,Triple Negative Breast Neoplasms
indacaterol maleate,"Bronchitis, Chronic"
cefepime hydrochloride,Sepsis
methylnicotinate,Schizophrenia
methotrexate,Cogan's Syndrome
glibornuride,"Diabetes Mellitus, Non-Insulin-Dependent"
incobotulinumtoxinA,Dystonia
allopurinol,"Leishmaniasis, Visceral"
erythromycin,Chlamydial pneumonia
aceclofenac,"Osteoarthritis, Knee"
magnesium sulfate,Tetanus
dihydropyridine,Septic Shock
omeprazole sodium,Esophagitis
dapagliflozin,Fatty Liver
buspirone,Post-Traumatic Stress Disorder
clarithromycin,Pulmonary mycobacterial infection
tobramycin,Blepharoconjunctivitis
glucose,Anorexia Nervosa
amisulpride,Acute schizophrenia
thymol,Staphylococcus aureus
mitomycin,Calmette-Guerin Bacillus
prednisolone,Infertility
clavam,Streptomyces clavuligerus
methylphenidate,Behavioral Symptoms
prednisolone,Mucocutaneous Lymph Node Syndrome
mitotane,Malignant neoplasm of adrenal cortex
ticagrelor,Acute myocardial infarction
mycophenolate mofetil,Idiopathic Membranous Glomerulonephritis
clofibrate,Myocardial Infarction
corticotropin,Stevens-Johnson Syndrome
Erythropoietin,nervous system disorder
naloxone,Oversedation
meclofenamate sodium,Dysmenorrhea
aminophylline,Bradycardia
olanzapine pamoate,Bipolar Disorder
warfarin,Myocardial Infarction
demeclocycline hydrochloride,Pertussis
indomethacin,Inflammatory disorder
clozapine,Dystonia
gadolinium,Chronic Kidney Insufficiency
enalapril,Chronic heart failure
"1-phenyl-3,3-dimethyltriazene",Choroidal Neovascularization
triamcinolone acetonide,Addisonian crisis
cimetidine,Peptic Esophagitis
clonazepam,Paroxysmal atrial fibrillation
alatrofloxacin mesylate,Klebsiella Infections
docetaxel anhydrous,Pancreatic Neoplasm
oxaliplatin,Metastatic malignant neoplasm
buclizine hydrochloride,Vertigo
cefpodoxime proxetil,Acute bacterial sinusitis
chloroquine,"Leishmaniasis, Cutaneous"
lamivudine,Decompensation
nifedipine,Chronic regurgitation
sevelamer hydrochloride,Calcified (qualifier value)
acemetacin,Rheumatism
ubidecarenone,Hyperlipidemia
sparsentan,Proteinuria
"insulin aspart protamine, human","Diabetes Mellitus, Insulin-Dependent"
cycloserine,"Tuberculosis, Drug-Resistant"
irinotecan,Neutropenia
rosuvastatin,Cardiovascular Diseases
ceftriaxone,Epididymitis
ezetimibe,Overweight
triptolide,Ulcerative Colitis
dopexamine hydrochloride,Septic Shock
clarithromycin,Helicobacter Pylori Infection
magnolol,Neuroprotection
Fibrates,Lipids outside reference range
iron,"Kidney Failure, Chronic"
warfarin,Cirrhosis
fidaxomicin,Clostridium difficile infection
olanzapine,Schizophreniform Disorders
Steroids,Possible
erythromycin,Bartonellosis
dexamethasone,Leucocytic infiltrate
betamethasone,"Lymphoma, Follicular"
indinavir,Nephrolithiasis
quinagolide,Hyperprolactinemia
everolimus,Chronic rejection of renal transplant
belinostat,Peripheral T-Cell Lymphoma
follicle stimulating hormone,Anovulatory (finding)
silver,Dental caries
tizanidine,Spasm
chorionic gonadotropin (hcg),Ovulation Induction
inositol,Insulin Sensitivity
vitamin A,"Dermatitis, Atopic"
ethanol,Stress
nitroprusside,Aortic Valve Stenosis
nicotine,Smoking Cessation
olanzapine,Tourette's Syndrome
Etanidazole,Neoplasms
silver nitrate,Hemorrhage
fluorouracil,Liver neoplasms
oxytocin,Gorilla gorilla gorilla
Cilengitide,Glioblastoma
ergocalciferol,Multiple Myeloma
ethinyl estradiol,Hypogonadism
sodium hypochlorite,Topical Disinfection
alpha-Methyltyrosine,Pheochromocytoma
clofazimine,Borderline leprosy
urea,Accumulation
atorvastatin calcium anhydrous,Hypertriglyceridemia
clozapine,Suicidal
brodimoprim,Acute sinusitis
pemetrexed,Metastatic malignant neoplasm to brain
temozolomide,Mixed Oligodendroglioma-Astrocytoma
amantadine sulfate,"Akathisia, Drug-Induced"
olmesartan,"Ventricular Dysfunction, Left"
Glurenorm,"Diabetes Mellitus, Non-Insulin-Dependent"
curcumin,Cardiotoxicity
estrogens,Urinary Incontinence
Challenge,"Diabetes Mellitus, Non-Insulin-Dependent"
cholesterol,Nutrition Disorders
erythromycin lactobionate,Acne Vulgaris
thiethylperazine,Nausea
bleomycin,Cardiac Tamponade
prabotulinumtoxinA-xvfs,"Skin Diseases, Genetic"
vinorelbine,Advanced cancer
elagolix,Abdominal Pain
amikacin,Septicemia
xylazine,pony
reboxetine,inpatient
leuprolide,Metastatic Prostate Carcinoma
epirubicin,Malignant neoplasm of breast
carvedilol,"Diabetes Mellitus, Non-Insulin-Dependent"
cyclosporine,Acute Generalized Exanthematous Pustulosis
diltiazem,Hypertrophic Cardiomyopathy
mercaptopurine,"Histiocytosis, Langerhans-Cell"
stiripentol,Status Epilepticus
cefotetan disodium,Staphylococcal Infections
aldesleukin,"Lymphoma, Non-Hodgkin"
bleomycin,Gestational Trophoblastic Neoplasms
phytochlorin,Malignant Neoplasms
pentamidine isethionate,"Leishmaniasis, Visceral"
piperacillin-tazobactam combination,Acute pyelonephritis
enflurane,Obesity
metronidazole,Clostridioides difficile
sorafenib,Hepatitis C
methylprednisolone acetate,Contact Dermatitis
prednisolone,Post traumatic osteoarthritis
hydromorphone,Chronic Cancer Pain
rosuvastatin,Asian People
pancuronium,Neuromuscular inhibition
mebendazole,"Filariasis, Elephantiasis"
Challenge,Pediatrician (occupation)
Challenge,Inflammatory Bowel Diseases
acetazolamide,Hypokalemic periodic paralysis
Steroids,Infiltration
chlorpromazine,Eclampsia
methotrexate,Chronic Urticaria
isotretinoin,Mycosis Fungoides
sotalol,Myocardial Infarction
thiotepa,Malignant neoplasm of ovary
zolpidem,Dystonia
triamcinolone,Ankylosing spondylitis
trihexyphenidyl,Dystonia
amifostine anhydrous,"Radiation Injuries, Experimental"
ciprofloxacin,Enterobacter cloacae
interferon alfa-2a,Liver carcinoma
azelaic acid,Hyperpigmentation
ligustrazine,"Fibrosis, Liver"
cariprazine,"Depression, Bipolar"
trimebutine,Irritable Bowel Syndrome
azathioprine,Nodular hyperplasia
gatifloxacin,Staphylococcal Pneumonia
sevelamer,Vascular calcification
haloperidol,Gilles de la Tourette syndrome
dihydroergotamine,Xerostomia
thioguanine anhydrous,"Leukemia, Eosinophilic, Acute"
Insulin,Discontinued
gabapentin,Reflex Sympathetic Dystrophy
imatinib mesylate,Hypereosinophilic syndrome
water,Acne Vulgaris
chloramphenicol,Salmonella infections
beta-Lactams,Haemophilus influenzae
cilostazol,Cerebrovascular accident
Dapoxetine hydrochloride,Premature Ejaculation
ozagrel,Cerebral Vasospasm
tofacitinib,World
estradiol,Oestradiol increased
amsacrine,Solid Neoplasm
dexamethasone,Hyperplasia
finasteride,Hematuria
methotrexate,Trophoblastic Neoplasms
nicotine,Passive smoker
imatinib,Philadelphia-Positive Myelogenous Leukemia
acetylcholine,Nervousness
dexamethasone sodium phosphate,Ankylosing spondylitis
carbamazepine,Cluster-Tic Syndrome
temozolomide,Anaplastic Astrocytoma
ivabradine,Atrial Fibrillation
methylphenidate,Impaired cognition
fostamatinib,Thrombocytopenia due to platelet alloimmunization
ethanol,Excitability
aliskiren,Diabetic
remdesivir,SARS-CoV-2
procainamide,Myotonia Congenita
captopril,Reperfusion Injury
warfarin,Pharmacist
empagliflozin,Chronic Kidney Diseases
deferasirox,Mucormycosis
ivermectin,Filarial Elephantiases
lycopene,"Leukoplakia, Oral"
terbutaline,Pulmonary Emphysema
ergocalciferol,Cardiovascular Diseases
measles virus vaccine / mumps virus vaccine / rubella virus vaccine,Rubella Prophylaxis
corticotropin,Stress
isoniazid / rifampin,"Tuberculosis, Active"
betamethasone dipropionate,Psoriasis vulgaris
lomefloxacin,Klebsiella Infections
atenolol,Ejection fraction (procedure)
thymalfasin,Malignant Neoplasms
praziquantel,Mesocricetus auratus
Kentucky bluegrass pollen extract,Hypersensitivity
dobutamine,Acute heart failure
acetate,Cerebral Edema
erythromycin,Campylobacter coli
thiocolchicoside,Acute low back pain
sulbactam,Staphylococcus aureus infection
bleomycin,Germ Cell Cancer
nilotinib hydrochloride,"Leukemia, Myeloid, Chronic-Phase"
desvenlafaxine,Major Depressive Disorder
oxygen,Hole Finding
Discipline,Crisis
nafcillin sodium monohydrate,Septicemia
lofepramine,Depressive disorder
cinacalcet,Parathyroid Adenoma
cyclophosphamide,partial response
diaziquone,Recurrent Brain Neoplasm
metronidazole benzoate,Bacterial Endocarditis
corticotropin,Lupus Erythematosus
tepotinib,Metastatic non-small cell lung cancer
Cisplatin/Fluorouracil Regimen,Squamous cell carcinoma of the head and neck
debrisoquin,Caucasians
vitamin E,Heart Diseases
Astiban,Schistosoma hematobium infection
erythromycin,Enterococcus faecalis
carboplatin,Medulloblastoma
tacrolimus,Lymphoproliferative Disorders
hydroxyurea,Vaso-Occlusive Crisis
ketanserin,Intermittent Claudication
simvastatin,Osteopenia
hesperidin,Dyslipidemias
"albumin human, USP",Bacterial Infections
piperacillin sodium,"Skin Diseases, Infectious"
fusidic acid,Listeriosis
bleomycin,Congenital Abnormality
azathioprine,"Dermatitis, Atopic"
diazepam,Depressive disorder
hydrocortisone probutate,Rheumatism
magnesium disodium EDTA,Drug Overdose
platycodin D,Pulmonary Fibrosis
G-CHOP Regimen,"Lymphoma, Non-Hodgkin"
Gentamicins,Pyelonephritis
ivermectin,Infestation by Psoroptes
bendamustine,Aggressive Non-Hodgkin Lymphoma
iloprost,Lower limb ischemia
Uniphyl,Asthma
fotemustine,"Malignant melanoma, metastatic"
methapyrilene,"Rhinitis, Allergic, Perennial"
moxifloxacin hydrochloride,Bacterial Infections
penciclovir,Epstein-Barr Virus Infections
promethazine hydrochloride,Nausea
cidofovir,Papilloma
cangrelor,Coronary Arteriosclerosis
chondroitin sulfate sodium,Cartilage Diseases
everolimus,"Lung Diseases, Interstitial"
dalbavancin,Prosthetic joint infection
sodium valproate,Migraine Disorders
Wnt-C59,Cardiac Hypertrophy
olaparib,Advanced Ovarian Carcinoma
levoleucovorin,"Anemia, Megaloblastic"
cisplatin,Metastatic Carcinoma to the Uterine Cervix
ofloxacin,Hospital acquired pneumonia
"cholera vaccine, live",Cholera Prophylaxis
cyclophosphamide,Metastatic malignant neoplasm to liver
mepenzolate,Peptic Ulcer
losartan,Hypertensive (finding)
"follicle stimulating hormone, porcine",Infertility
fluoxetine,"Major depression, single episode"
levofloxacin anhydrous,Soft Tissue Infection
doxycycline,Boutonneuse Fever
acetylcysteine,Tuberculosis
isopropyl alcohol,Nausea
masoprocol,Actinic keratosis
glucose,Pneumonia
clodronic acid,Multiple Myeloma
fusidic acid,"Skin Diseases, Bacterial"
curcumin,Cardiovascular Diseases
gemcitabine,silence
buprenorphine,Heroin Dependence
aclarubicin,leukemia
urokinase,Thrombus
tiagabine,Generalized Anxiety Disorder
mannitol hexanitrate,Ocular Hypertension
selenium,Obesity
regorafenib monohydrate,Colorectal Neoplasms
Carcinoembryonic Antigen,Cerebrovascular accident
fluorometholone acetate,Keratitis
amoxicillin,Lower respiratory tract infection
Capecitabine/Panitumumab Regimen,Colorectal Carcinoma
Corticosterone,Malnutrition
ciprofloxacin,Nonspecific urethritis
sulindac,Tendinopathy
sulforafan,Malignant Neoplasms
aripiprazole,Autism Spectrum Disorders
atorvastatin,Mucocutaneous Lymph Node Syndrome
glucose,Cow for milk production
dalteparin sodium,Thromboembolism
piperazine hexahydrate,Nematode infections
ticagrelor,Acute Ischemic Stroke
norepinephrine,"Kidney Failure, Acute"
penicillin G potassium,Syphilis
riboflavin 5'-phosphate sodium anhydrous,Riboflavin Deficiency
morphine,Neuropathy
Steroids,Pericardial effusion
diltiazem hydrochloride,Myocardial Infarction
lenvatinib,Neoplasms
doxorubicin,synovial sarcoma
Calcium lactate gluconate,Hypocalcemia
sulindac,Polyp of large intestine
glutamine,Short Bowel Syndrome
quinidine,Atrial Flutter
sulfasalazine,Exanthema
duloxetine hydrochloride,Anxiety Disorders
brivaracetam,Status Epilepticus
beta carotene,Gerbils
dabigatran,"Deep Vein Thrombosis, Prophylaxis"
arformoterol,Bronchospasm
sulthiame,West Syndrome
anthralin,Psoriasis vulgaris
labetalol,Severe pre-eclampsia
cyclophosphamide anhydrous,Mammary Neoplasms
